카테고리,항목,내용
회사정보,회사명,퓨쳐시스템
회사정보,설립연도,2010년
회사정보,대표이사,정원규
회사정보,본사위치,서울특별시 강남구 테헤란로
회사정보,직원수,200명
회사정보,자본금,100억원
회사정보,주요사업,"VPN 솔루션, 보안 서비스, 클라우드 인프라"
회사정보,비전,안전한 네트워크 세상 구현
회사정보,미션,혁신적인 보안 기술로 고객 가치 창출
회사정보,핵심가치,"혁신, 신뢰, 고객만족"
VPN제품,VPN 솔루션 1,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 100명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 2,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 200명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 3,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 300명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 4,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 400명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 5,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 500명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 6,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 600명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 7,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 700명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 8,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 800명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 9,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 900명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 10,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1000명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 11,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1100명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 12,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1200명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 13,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1300명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 14,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1400명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 15,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1500명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 16,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1600명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 17,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1700명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 18,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1800명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 19,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1900명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 20,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2000명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 21,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2100명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 22,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2200명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 23,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2300명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 24,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2400명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 25,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2500명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 26,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2600명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 27,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2700명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 28,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2800명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 29,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2900명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 30,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 3000명 동시 접속, AES-256 암호화"
보안솔루션,침입탐지 솔루션 1,"침입탐지 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DDoS 방어 솔루션 2,"DDoS 방어 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,웹방화벽 솔루션 3,"웹방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DB보안 솔루션 4,"DB보안 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,엔드포인트보안 솔루션 5,"엔드포인트보안 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,방화벽 솔루션 6,"방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,침입탐지 솔루션 7,"침입탐지 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DDoS 방어 솔루션 8,"DDoS 방어 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,웹방화벽 솔루션 9,"웹방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DB보안 솔루션 10,"DB보안 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,엔드포인트보안 솔루션 11,"엔드포인트보안 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,방화벽 솔루션 12,"방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,침입탐지 솔루션 13,"침입탐지 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DDoS 방어 솔루션 14,"DDoS 방어 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,웹방화벽 솔루션 15,"웹방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DB보안 솔루션 16,"DB보안 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,엔드포인트보안 솔루션 17,"엔드포인트보안 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,방화벽 솔루션 18,"방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,침입탐지 솔루션 19,"침입탐지 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DDoS 방어 솔루션 20,"DDoS 방어 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,웹방화벽 솔루션 21,"웹방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DB보안 솔루션 22,"DB보안 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,엔드포인트보안 솔루션 23,"엔드포인트보안 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,방화벽 솔루션 24,"방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,침입탐지 솔루션 25,"침입탐지 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DDoS 방어 솔루션 26,"DDoS 방어 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,웹방화벽 솔루션 27,"웹방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
